Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AT28C1,~,DIP-24_W7.62mm,120.2,-81.345,180.0,top
J1,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Horizontal,101.0,-73.0,180.0,top
U1,74HC173,DIP-16_W7.62mm,179.8,-58.175,0.0,top
U2,74HC173,DIP-16_W7.62mm,179.8,-83.175,0.0,top
U3,74HC283,DIP-16_W7.62mm,135.18,-58.175,0.0,top
U4,74HC283,DIP-16_W7.62mm,135.18,-83.175,0.0,top
U5,74LS157,DIP-16_W7.62mm,158.0,-58.135,0.0,top
U6,74LS157,DIP-16_W7.62mm,158.0,-83.175,0.0,top
